page,line,text
110,7,emailed Campaign officials with feedback he said he received from ambassadors he had met at the
110,8,"Convention, and he wrote that Ambassador Kisl ak was ver worried about candidate Clinton's"
110,9,world views. 585
110,10,"Following the Convention, Page's trip to Moscow and his advocacy for pro-Russia foreign"
110,11,policy drew the media's attention and began to generate substantial press coverage. The Campaign
110,12,"responded by distancing itself from Page, describing him as an ""informal foreign policy advisor"""
110,13,"who did ""not speak for Mr. Trump or the campaign."" 587 On September 23, 2016, Yahoo! News"
110,14,reported that U.S. intelligence officials were investigating whether Page had opened private
110,15,communications with senior Russian officials to discuss U.S. sanctions policy under a possible
110,16,"Trump Administration. 588 A Campaign spokesman told Yahoo! News that Page had ""no role"" in"
110,17,"the Campaign and that the Campaign was ""not aware of any of his activities , past or present. "" 589"
110,18,"On September 24, 2016, Page was formally removed from the Campaign. 590"
110,19,"Although Page had been removed from the Campaign, after the election he sought a"
110,20,"position in the Trump Administration. 59 1 On November 14, 2016, he submitted an application to"
110,21,"the Transition Team that inflated his credentials and experiences, stating that in his capacity as a"
110,22,"Trump Campaign foreign policy advisor he had met with ""top world leaders"" and ""effect ively"
110,23,5 3
110,24,"&  Page 3/10/17 302, at 4; Page 3/ 16/ 17 302, at 3."
110,25,5 4
110,26,"&  Page 3/10/17 302, at 4; Page 3/16/17 302, at 3."
110,27,5&5
110,28,"; 7/23/16 Email, Page to Clovis; 7/25/16 Email,"
110,29,Page to Gordon & Schmitz.
110,30,586
110,31,587
110,32,"See, e.g., Steven Mufson & Tom Hamburger , Trump Advisor's Public Comments, Ties to"
110,33,"Moscow Stir Unease in Both Parties , Washington Post (Aug. 5, 2016)."
110,34,58
110,35,"& Michael Isikoff, US. Intel Officials Probe Ties Between Trump Adviser and Kremlin , Yahoo!"
110,36,"News (Sept. 23, 2016)."
110,37,5 9
110,38,"&  Michael Isikoff, US. Intel Officials Probe Ties Between Trump Adviser and Kremlin , Yahoo!"
110,39,"News (Sept. 23, 2016); see also 9/25/16 Email, Hicks to Conway & Bannon (instructing that inquirie s about"
110,40,"Page should be answered with ""[h]e was announced as an informal adviser in March. Since then he has"
110,41,had no role or official contact with the campaign. We have no knowledge of activities past or present and
110,42,"he now officially has been removed from all lists etc."")."
110,43,"590 Page 3/16/17 302, at 2; see, e.g., 9/23/16 Email, J. Miller to Bannon & S. Miller (discussing"
110,44,plans to remove Page from the campaign).
110,45,", ""Transition Online Form,"" 11/14/ 16 -"
110,46,102
110,47,NA
111,1,U.S. Department of Justice
111,2,AUerfl:ey \\'erk Pretittet // May Cerua.ifl Material Preteeteti Ufl:tierFee. R. Crim. P. 6(e)
111,3,"responded to diplomatic outreach efforts from senior government officials in Asia, Europe, the"
111,4,"Middle East, Africa, [and] the Americas."" 592 Page received no response from the Transition Team."
111,5,"When Page took a personal trip to Moscow in December 2016, he met again with at least one"
111,6,Russian government official. That interaction and a discussion of the December trip are set forth
111,7,"in Volume I, Section IV.B .6, infra."
111,8,4. Dimitri Simes and the Center for the National Interest
111,9,Members of the Trump Campaign interacted on several occasions with the Center for the
111,10,"National Interest (CNI), principally through its President and Chief Executive Officer, Dimitri"
111,11,Simes. CNI is a think tank with expertise in and connections to the Russian government. Simes
111,12,was born in the former Soviet Union and immigrated to the United States in the 1970s. In April
111,13,"2016, candidate Trump delivered his first speech on foreign policy and national security at an event"
111,14,"hosted by the National Interest, a publication affiliated with CNI. Then-Senator Jeff Sessions and"
111,15,"Russian Ambassador Kislyak both attended the event and, as a result, it gained some attention in"
111,16,relation to Sessions's confirmation hearings to become Attorney General. Sessions had various
111,17,"other contacts with CNI during the campaign period on foreign-policy matters, including Russia."
111,18,Jared Kushner also interacted with Simes about Russian issues during the campaign. The
111,19,investigation did not identify evidence that the Campaign passed or received any messages to or
111,20,from the Russian government through CNI or Simes.
111,21,a. CNI and Dimitri Simes Connect with the Trump Campaign
111,22,CNI is a Washington-based non-profit organization that grew out of a center founded by
111,23,"former President Richard Nixon. 593 CNI describes itself ""as a voice for strategic realism in U.S ."
111,24,594
111,25,"foreign policy,"" and publishes a bi-monthly foreign policy magazine, the National Interest.          CNI"
111,26,is overseen by a board of directors and an advisory council that is largely honorary and whose
111,27,"members at the relevant time included Sessions, who served as an advisor to candidate Trump on"
111,28,national security and foreign policy issues. 595
111,29,Dimitri Simes is president and CEO of CNI and the publisher and CEO of the National
111,30,"Jnterest.596 Simes was born in the former Soviet Union, emigrated to the United States in the early"
111,31,"1970s, and joined CNI' s predecessor after working at the Carnegie Endowment for International"
111,32,593
111,33,"Simes 3/8/18 302, at 1-2."
111,34,594
111,35,"About the Center, CNI, available at https://cftni.org/about/."
111,36,595
111,37,"Advisory Counsel, CNl, available at https://web.archive.org/web /20161030025331 /"
111,38,"http://cftni.org/about/advisory-council/ ; Simes 3/8/18 302, at 3-4; Saunders 2/15/18 302, at 4; Sessions"
111,39,"1/17/18 302, at 16."
111,40,596
111,41,"Simes 3/8/18 302, at 2."
111,42,103
111,43,NA
112,1,U.S. Department of Justice
112,2,Atterttey Werk Preflttet // Moy CeRtttift Material PrnteeteEI Uttfler Fee. R:.Criffl. P. 6(e)
112,3,Peace. 597 Simes personally has many contacts with current and former Russian government
112,4,"officials, 598 as does CNI collectively. As CNI stated when seeking a grant from the Carnegie"
112,5,"Corporation in 2015, CNI has ""unparalleled access to Russian officials and politicians among"
112,6,"Washington think tanks, "" 599 in part because CNI has arranged for U.S. delegations to visit Russia"
112,7,"and for Russian delegations to visit the United States as patt of so-called ""Track 11"" diplomatic"
112,8,·efforts.600
112,9,"On March 14, 2016, CNI board member Richard Plepler organized a luncheon for CNI and"
112,10,"its honorary chairman, Henry Kissinger, at the Time Warner Building in New York. 601 The idea"
112,11,behind the event was to generate interest in CNI's work and recruit new board members for CNI. 602
112,12,"Along with Simes, attendees at the event included Jared Kushner , son-in-law of candidate"
112,13,Trump. 603 Kushner told the Office that the event came at a time when the Trump Campaign was
112,14,"having trouble securing support from experienced foreign policy professionals and that, as a result ,"
112,15,he decided to seek Simes's assistance during the March 14 event. 604
112,16,"Simes and Kushner spoke again on a March 24, 2016 telephone call,605 three days after"
112,17,Trump had publicly named the team of foreign policy advisors that had been put together on short
112,18,"notice. 606 On March 31, 2016, Simes and Kushner had an in-person , one-on-one meeting in"
112,19,"Kushner's New York office. 607 During that meeting, Simes told Kushner that the best way to"
112,20,handle foreign-policy issues for the Trump Campaign would be to organize an advisory group of
112,21,experts to meet with candidate Trump and develop a foreign policy approach that was consistent
112,22,with Trump's voice. 608 Simes believed that Kushner was receptive to that suggestion. 609
112,23,Simes also had contact with other individuals associated with the Trump Campaign
112,24,"regarding the Campaign's foreign policy positions. For example, on June 17, 2016, Simes sent"
112,25,"J.D. Gordon an email with a ""memo to Senator Sessions that we discussed at our recent meeting """
112,26,597
112,27,"Simes 3/8/18 302, at 1-2; Simes 3/27/ 18 302, at 19."
112,28,598
112,29,"Simes 3/27 /18 302, at 10-15."
112,30,599
112,31,"C000l 1656 (Rethinking US-Russia Relati ons, CNI (Apr. 18, 2015))."
112,32,600
112,33,"Simes 3/8/18 302, at 5; Saunders 2/15/18 302, at 29-30; Zakheim 1/25/ 18 302, at 3."
112,34,601
112,35,"Simes 3/8/18 302, at 6; C00006784 (3/11/16 Email , Gilbride to Saunders (3:43:12 p.m.); cf"
112,36,"Zakheim 1/25/18 302, at 1 (Kissinger was CNI's ""Honorary Chairman of the Board""); Boyd 1/24/1 8 302,"
112,37,"at 2; P. Sanders 2/15/18 302, at 5."
112,38,602
112,39,"Simes 3/8/18 302, at 5-6; Simes 3/27/18 302, at 2."
112,40,603
112,41,"Simes 3/8/18 302, at 6; Kushner 4/11/18 302 at 2."
112,42,604
112,43,"Kushner 4/ 11/ 18 302 , at 2."
112,44,605
112,45,"Simes 3/8/18 302, at 6-7."
112,46,606
112,47,"see Volume I, Section IV.A.2, supra."
112,48,607
112,49,"Simes 3/8/18 302, at 7-9."
112,50,608
112,51,"Simes 3/8/18 302, at 7-8."
112,52,609
112,53,"Simes 3/8/18 302, at 8; see also Boyd 1/24/18 302, at 2."
112,54,104
112,55,NA
113,1,U.S. Department of Justice
113,2,"At:1:ertte,·'Nerk Predttet // Ma,· Cetttaitt Material Preteeted Utteler Fed. R. Criffl. P. 6(e)"
113,3,and asked Gordon to both read it and share it with Sessions. The memorandum proposed building
113,4,"a ""small and carefully selected group of experts"" to assist Sessions with the Campaign, operating"
113,5,"under the assumption ""that Hillary Clinton is very vulnerable on national security and foreign"
113,6,"policy issues."" The memorandum outlined key issues for the Campaign , including a ""new"
113,7,"beginning with Russia."" 610"
113,8,b. National Interest Hosts a Foreign Policy Speech at the Mayflower Hotel
113,9,"During both their March 24 phone call and their March 31 in-person meeting, Simes and"
113,10,6 11
113,11,Kushner discussed the possibility of CNI hosting a foreign policy speech by candidate Trump.
113,12,"Following those conversations, Simes agreed that he and others associated with CNI would"
113,13,provide behind-the-scenes input on the substance of the foreign-policy speech and that CNI
113,14,"officials would coordinate the logistics of the speech with Sessions and his staff, including"
113,15,"Sessions's chief of staff, Rick Dearborn. 612"
113,16,"In mid-April 2016, Kushner put Simes in contact with senior policy advisor Stephen Miller"
113,17,and forward ed to Simes an outline of the foreign -policy speech that Miller had prepared .613 Simes
113,18,sent back to the Campaign bullet points with ideas for the speech that he had drafted with CNI
113,19,Executive Director Paul Saunders and board member Richard Burt. 6 14 Simes received subsequent
113,20,"draft outlines from Miller , and he and Saunders spoke to Miller by phone about substantive"
113,21,"changes to the speech. 615 It is not clear , however, whether CNI officials received an actual draft"
113,22,"of the speech for comment; while Saunders recalled having received an actual draft, Simes did not,"
113,23,and the emails that CNI produced to this Office do not contain such a draft. 616
113,24,After board members expressed concern to Simes that CNl's hosting the speech could be
113,25,"perceived as an endorsement of a particular candidate, CNI decided to have its publication , the"
113,26,"National Interest, serve as the host and to have the event at the National Press Club. 617 Kushner"
113,27,"later requested that the event be moved to the Mayflower Hotel, which was another venue that"
113,28,"Simes had mentioned during initial discussions with the Campaign, in order to address concerns"
113,29,about security and capacity. 618
113,30,61
113,31,"°C00008187    (6/17/16 Email, Simes to Gordon (3:35:45 p.m.))."
113,32,611
113,33,"Simes 3/8/18 302 , at 7."
113,34,"612  Simes 3/8/18 302, at 8-11; C00008923 (4/6/16 Email, Simes to Burt (2:22:28 p.m.)) ; Burt 2/9/18"
113,35,"302, at 7."
113,36,6 13
113,37,"C00008551 (4/17/16 Email , Kushner to Simes (2:44:25 p.m.)); C00006759 (4/14/16 Email"
113,38,Kushner to Simes & S. Miller (12:30 p.m.)).
113,39,6 14
113,40,"Burt 2/9/18 302, at 7; Saunders 2/15/18 302, at 7-8."
113,41,615
113,42,"Simes 3/8/18 302, at 13; Saunders 2/15/18 302, at 7-8."
113,43,616
113,44,"Simes 3/8/18 302, at 13; Saunders 2/15/18 302, at 7-8."
113,45,6 17
113,46,"Saunders 2/15/18 302, at 8; Simes 3/8/18 302, at 12; C00003834-43 (4/22/16 Ema il, Simes to"
113,47,Boyd et al. (8 :47 a.m.)).
113,48,618
113,49,"Simes 3/8/ 18 302 , at 12, 18; Saunders 2/ 15/ 18 302, at 11."
113,50,105
113,51,NA
114,1,U.S. Department of Justice
114,2,"A.tlerRe:,,·Werk Pretlttet // May CeRtai:RMaterial Preteetetl Untler Fetl. R. Crim. P. 6(e)"
114,3,"On April 25, 2016, Saunders booked event rooms at the Mayflower to host both the speech"
114,4,and a VIP reception that was to be held beforehand .6 19 Saunders understood that the reception -
114,5,at which invitees would have the chance to meet ·candidate Trump--would be a small event. 620
114,6,Saunders decided who would attend by looking at the list of CNI' s invitees to the speech itself and
114,7,then choosing a subset for the reception. 62 1 CNI's invitees to the reception included Sessions and
114,8,Kislyak. 622 The week before the speech Simes had informed Kislyak that he would be invited to
114,9,"the speech, and that he would have the opportunity to meet Trump. 623"
114,10,"When the pre -speech reception began on April 27, a receiving line was quickly organized"
114,11,so that attendees could meet Trump. 624 Sessions first stood next to Trump to introduce him to the
114,12,"members of Congress who were in attendance. 625 After those members had been introduced ,"
114,13,"Simes stood next to Trump and introduced him to the CNI invitees in attendance , including"
114,14,"Kislyak. 626 Simes perceived the introduction to be positive and friendly, but thought it clear that"
114,15,Kislyak and Trump had just met for the first time. 627 Kislyak also met Kushner during the pre-
114,16,"speech reception. The two shook hands and chatted for a minute or two, during which Kushner"
114,17,"recalled Kislyak saying , ""we like what your candidate is saying ... it's refreshing. "" 628"
114,18,"Several public reports state that, in addition to speaking to Kushner at the pre-speech"
114,19,"reception, Kislyak also met or conversed with Sessions at that time. 629 Sessions stated to"
114,20,"investigators, however, that he did not remember any such conversation. 630 Nor did anyone else"
114,21,affiliated with CNI or the National Interest specifically recall a conversation or meeting between
114,22,"Sessions and Kislyak at the pre-speech reception. 631 It appears that , if a conversation occurred at"
114,23,"the pre-speech reception, it was a brief one conducted in public view , similar to the exchange"
114,24,between Kushner and Kislyak.
114,25,6 19
114,26,"Saunders 2/15/18 302, at 11-12; C00006651-57 (Mayflower Group Sales Agreement)."
114,27,620
114,28,"Saunders 2/15/18 302 , at 12-13."
114,29,621
114,30,"Saunders 2/15/18 302, at 12."
114,31,622
114,32,"C00002575 (Attendee List); C00008536 (4/25/ 16 Email, Simes to Kushner (4:53:45 p.m.))."
114,33,623
114,34,"Simes 3/8/18 302, at 19-20."
114,35,624
114,36,"Simes 3/8/18 302, at 21."
114,37,625
114,38,"Simes 3/8/18 302, at 21."
114,39,626
114,40,"Simes 3/8/18 302, at 21."
114,41,627
114,42,"Simes 3/8/18 302, at 2 1."
114,43,628
114,44,"Kushner 4/11/18 302, at 4."
114,45,629
114,46,"See, e.g., Ken Dilanian, Did Trump, Kushner, Sessions Have an Undisclosed Meeting With"
114,47,"Russian? , NBC News (June 1, 2016); Julia Ioffe, Why Did Jeff Sessions Really Meet With Sergey Kislyak ,"
114,48,"The Atlantic (June 13, 2017) ."
114,49,630
114,50,"Sessions 1/17/18 302, at 22 ."
114,51,63 1
114,52,"Simes 3/8/18 302, at 21; Saunders 2/15/18 302, at 14, 21; Boyd 1/24/ 18 302, at 3-4; Heilbrunn"
114,53,"2/1/18 302, at 6; Statement Regarding President Trump's April 27, 2016 Foreign Policy Speech at the"
114,54,"Center for the National Interest, CNI (Mar. 8, 2017)."
114,55,106
114,56,NA
115,1,U.S. Department of Justice
115,2,Atteffle~· Werk Pfeattet // Mtty Cefltttifl Mt1terittl Preteetea Umler Fee. R. Criffl. P. 6(e)
115,3,The Office found no evidence that Kislyak conversed with either Trump or Sessions after
115,4,"the speech, or would have had the opportunity to do so. Simes, for example, did not recall seeing"
115,5,"Kislyak at the post -speech luncheon, 632 and the only witness who accounted for Sessions's"
115,6,whereabouts stated that Sessions may have spoken to the press after the event but then departed
115,7,"for Capitol Hill. 633 Saunders recalled, based in part on a food-related request he received from a"
115,8,"Campaign staff member, that Trump left the hotel a few minutes after the speech to go to the"
115,9,airport. 634
115,10,c. Jeff Sessions's Post-Speech Interactions with CNI
115,11,"In the wake of Sessions' s confirmation hearings as Attorney General, questions arose about"
115,12,whether Sessions's campaign-period interactions with CNI apart from the Mayflower speech
115,13,included any additional meetings with Ambassador Kislyak or involved Russian -related matters.
115,14,"With respect to Kislyak contacts , on May 23, 2016, Sessions attended CNI 's Distinguished Service"
115,15,"Award dinner at the Four Seasons Hotel in Washington, D.C. 635 Sessions attended a pre-dinner"
115,16,reception and was seated at one of two head tables for the event.636 A seating chart prepared by
115,17,"Saunders indicates that Sessions was scheduled to be seated next to Kislyak, who appears to have"
115,18,"responded to the invitation by indicating he would attend the event. 637 Sessions, however , did not"
115,19,"remember seeing, speaking with, or sitting next to Kislyak at the dinner. 638 Although CNI board"
115,20,"member Charles Boyd said he may have seen Kislyak at the dinner, 639 Simes, Saunders, and Jacob"
115,21,Heilbrunn--editor of the National Interest-all had no recollection of seeing Kislyak at the May
115,22,°
115,23,23 event. 64 Kislyak also does not appear in any of the photos from the event that the Office
115,24,obtained.
115,25,"In the summer of 20 16, CNI organized at least two dinner s in Washington , D.C. for"
115,26,Sessions to meet with experienced foreign policy professionals. 641 The dinners included CNI-
115,27,"affiliated individuals, such as Richard Burt and Zalmay Khalilzad, a former U.S. ambassador to"
115,28,"Afghanistan and Iraq and the person who had introduced Trump before the April 27, 2016 foreign-"
115,29,632
115,30,"Simes 3/8/18 302, at 22; Heilbrunn 2/1/ 18 302, at 7."
115,31,633
115,32,"Luff 1/30/18 302, at 4."
115,33,634
115,34,"Saunders 2/15/18 302, at 15."
115,35,635
115,36,"Sessions 1/17/18 302, at 22 ; Saunders 2/15/18 302, at 17."
115,37,"636 Saunders 2/15/18 302 , at 17; C00004779-80 (5/23/16 Email , Cante lmo to Saunders & Hagberg"
115,38,"(9:30: 12 a.m.); C00004362 (5/23/16 Email, Bauman to Cantelmo et al. (2:02:32 a.m.)."
115,39,637
115,40,C00004362 (5/23/16 Email Bauman to Cantelmo et al. (2:02:32 a.m.).
115,41,638
115,42,"Sessions 1/17/18 302, at 22."
115,43,639
115,44,"Boyd 1/24/18 302, at 4."
115,45,640
115,46,"Simes 3/8/18 302, at 23; Saunders 2/15/18 302, at 18; Heilbrunn 2/1/18 302, at 7."
115,47,"641 Simes 3/8/18 302, at 31; Saunders 2/15/ 18 302, at 19; Burt 2/9/18 302, at 9-1 0; Khalil zad 1/9/ 18"
115,48,"302, at 5."
115,49,107
115,50,NA
116,1,U.S. Department of Justice
116,2,Atterl'l:ey'Nerk Precluet // Mtt:>'Cel'l:tail'I:
116,3,Material Preteetecl UflclerFecl. R. Criffl. P. 6(e)
116,4,"policy speech. 642 Khalilzad also met with Sessions one-on -one separately from the ,dinners. 643 At"
116,5,"the dinners and in the meetings , the participants addressed U.S. relations with Russia, including"
116,6,how U.S. relations with NATO and European countries affected U.S. policy toward Russia. 644 But
116,7,"the discussions were not exclusively focused on Russia. 645 Khalilzad, for example, recalled"
116,8,"discussing ""nation-building"" and violent extremism with Sessions. 646 In addition , Sessions asked"
116,9,Saunders (of CNI) to draft two memoranda not specific to Russia: one on Hillary Clinton ' s foreign
116,10,policy shortcomings and another on Egypt. 647
116,11,d. Jared Kushner's -Continuing Contacts with Simes
116,12,"Between the April 2016 speech at the Mayflower Hotel and the presidential election , Jared"
116,13,Kushner had periodic contacts with Simes. 648 Those contacts consisted of both in-person meetings
116,14,"and phone conversations , which concerned how to address issues relating to Russia in the"
116,15,Campaign and how to move forward with the advisory group of foreign policy experts that Simes
116,16,"had proposed. 649 Simes recalled that he, not Kushner, initiated all conversations about Russia, and"
116,17,that Kushner never asked him to set up back-channel conversations with Russians. 650 According
116,18,"to Simes, after the Mayflower speech in late April, Simes raised the issue of Russian contacts with"
116,19,"Kushner , advised that it was bad optics for the Campaign to develop hidden Russian contacts, and"
116,20,told Kushner both that the Campaign should not highlight Russia as an issue and should handle
116,21,any contacts with Russians with care. 651 Kushner generally provided a similar account of his
116,22,interactions with Simes. 652
116,23,"Among the Kushner-Simes meetings was one held on August 17, 2016 , at Simes' s request,"
116,24,in Kushner's New York office. The meeting was to address foreign policy advice that CNI was
116,25,providing and how to respond to the Clinton Campaign's Russia-relat ed attacks on candidate
116,26,642
116,27,"Butt 2/9/18 302, at 9-10; Khalilzad 1/9/18 302, at 1-2, 5."
116,28,643
116,29,"Khalilzad 1/9/ 18 302, at 5-6."
116,30,644
116,31,"Simes 3/8/ 18 302, at 31; Burt 2/9/ 18 302, at 9-1 O;Khalilzad 1/9/18 302, at 5."
116,32,645
116,33,"Saunders 2/15/18 302, at 20."
116,34,646
116,35,"Khalilzad 1/9/18 302, at 6."
116,36,647
116,37,"Saunders 2/15/18 302, at 19-20."
116,38,648
116,39,"Simes 3/8/18 302, at 27."
116,40,649
116,41,"Simes 3/8/18 302, at 27."
116,42,650
116,43,"Simes 3/8/18 302, at 27."
116,44,651
116,45,"Simes 3/8/18 302, at 27. During this period of time, the Campaign received a request for a high-"
116,46,"level Campaign official to meet with an officer at a Russian state-owned bank ""to discuss an offer [that"
116,47,"officer] claims to be canying from Presid ent Putin to meet with"" candidate Trump. NOSC00005653"
116,48,"(5/17/16 Email, Dearborn to Kushner (8: 12 a.m.)). Copying Manafort and Gates, Kushner respond ed, ""Pass"
116,49,on this . A lot of people come claiming to carry messages. Very few are able to verify. For now I th ink we
116,50,decline such meetings. Most likely these people go back home and claim they have special access to gain
116,51,"importance for themselves. Be careful."" NOSC00005653 (5/ 17/16 Email, Kushner to Dearborn)."
116,52,652
116,53,"Kushner 4/11 /18 302, at 11-13."
116,54,108
116,55,NA
117,1,U.S. Department of Justice
117,2,Att:ert1:ey'.¥erk Predt:tet// Mtty CeHtttiflMttterittl Preteeted UAder Fed. R. Criffl. P. 6(e)
117,3,"Trump. 653 In advance of the meeting , Simes sent Kushner a ""Russia Policy Memo"" laying out"
117,4,"""what Mr. Trump may want to say about Russia."" 654 In a cover email transmitting that memo and"
117,5,"a phone call to set up the meeting , Simes mentioned ""a well-documented story of highly"
117,6,"questionable connections between Bill Clinton"" and the Russian government, ""parts of [which]"""
117,7,"(according to Simes) had even been ""discussed with the CIA and the FBI in the late 1990s and"
117,8,"shared with the [Independent Counsel] at the end of the Clinton presidency. "" 655 Kushner"
117,9,"forwarded the email to senior Trump Campaign officials Stephen Miller, Paul Manafort, and Rick"
117,10,"Gates , with the note ""sugges tion only."" 656 Manafort subsequently forwarded the email to his"
117,11,assistant and scheduled a meeting with Simes. 657 (Manafort was on the verge of leaving the
117,12,"Campaign by the time of the scheduled meeting with Simes, and Simes ended up meeting only"
117,13,with Kushner).
117,14,"During the August 17 meeting , Simes provided Kushner the Clinton-related information"
117,15,"that he had romised. 658 Simes told Kushner that ,"
117,16,Simes claimed that he had received this information from former
117,17,"CIA and Reagan White House official Fritz Ermarth, who claimed to have learned it from U.S."
117,18,"intelligence sources, not from Russians. 660"
117,19,Simes perceived that Kushner did not find the information to be of interest or use to the
117,20,"Campaign because it was, in Simes's words, ""old news."" 661 When interviewed by the Office ,"
117,21,Kushner stated that he believed that there was little chance of something new being revealed about
117,22,"the Clintons given their long career as public figures, and that he never received from Simes"
117,23,"information that could be ""operationalized"" for the Trump Campaign. 662 Despite Kushner's"
117,24,653
117,25,"Simes 3/8/18 302, at 29-30; Simes 3/27 /18 302, at 6; Kushner 4/11/18 302, at 12; C00007269"
117,26,"(8/10/16 Meeting Invitation, Vargas to Simes et al.); DJTFP00023484 (8/11/16 Emai l, Hagan to Manafmt"
117,27,(5:57:15 p.m.)).
117,28,654
117,29,"C00007981-84 (8/9/16 Email, Simes to Kushner (6:09:21 p.m.)). The memorandum"
117,30,"recommend ed ""down playing Russia as a U.S. foreign policy priority at this time"" and suggested that ""some"
117,31,"tend to exaggerate Putin's flaws."" The memorandum also recommended approaching general Russian-"
117,32,"related questions in the framework of ""how to work with Russia to advance important U.S . national"
117,33,"interests"" and that a Trump Administration ""not go abroad in search of monsters to destroy."" The"
117,34,"memorandum did not discuss sanctions but did address how to handle Ukraine-related questions , including"
117,35,questions about Russia's invasion and annexation of Crimea.
117,36,655
117,37,"C00007981 (8/9/16 Email, Simes to Kushner (6:09:21 p.m.))."
117,38,656
117,39,"DJTFP00023459 (8/10/16 Email, Kushner to S. Miller et al. (11 :30: 13 a.m.))."
117,40,657
117,41,"DJTFP00023484 (8/1 1/16 Email, Hagan to Manafort (5:57:15 p.m.))."
117,42,"658 Simes 3/8/18 302, at 29-30; Simes 3/27/18 302, at 6; Kushner 4/11/18 302, at 12."
117,43,659
117,44,"Simes 3/8/18 302, at 30; Simes 3/27 /l 8 302, at 6."
117,45,660
117,46,"Simes 3/8/18 302, at 30."
117,47,661
117,48,"Simes 3/8/18 302, at 30; Simes 3/27/18 302, at 6."
117,49,662
117,50,"Kushner 4/11/18 302, at 12."
117,51,109
117,52,NA
118,1,U.S. Department of Justice
118,2,Attoraey Work Prodttet // Mtt; Coatttifl Mttterittl Proteeted Uader Fed. R. Criffl. P. 6(e)
118,3,"reaction , Simes believed that he provided the same information at a small group meeting of foreign"
118,4,policy experts that CNI organized for Sessions. 663
118,5,"5. June 9, 2016 Meeting at Trump Tower"
118,6,"On June 9, 2016, senior representatives of the Trump Campaign met in Trump Tower with"
118,7,a Russian attorney expecting to receive derogatory information about Hillary Clinton from the
118,8,Russian government. The meeting was proposed to Donald Trump Jr. in an email from Robert
118,9,"Goldstone, at the request of his then-client Emin Agalarov, the son of Russian real-estate developer"
118,10,"Aras Agalarov . Goldstone relayed to Trump Jr. that the ""Crown prosecutor of Russia ... offered"
118,11,to provide the Trump Campaign with some official documents and information that would
118,12,"incriminate Hillary and her dealings with Russia "" as ""part of Russia and its government 's support"
118,13,"for Mr. Trump."" Trump Jr. immediately responded that ""if it ' s what you say I love it,"" and arranged"
118,14,the meeting through a series of emails and telephone calls.
118,15,Trump Jr. invited campaign chairman Paul Manafort and senior advisor Jared Kushner to
118,16,"attend the meeting, and both attended. Members of the Campaign discussed the meeting before it"
118,17,"occurred, and Michael Cohen recalled that Trump Jr. may have told candidate Trump about an"
118,18,"upcoming meeting to receive adverse information about Clinton , without linking the meeting to"
118,19,"Russia. According to written answers submitted by President Trump, he has no recollection of"
118,20,"learning of the meeting at the time, and the Office found no documentary evidence showing that he"
118,21,was made aware of the meeting--or its Russian connection-before it occurred.
118,22,"The Russian attorney who spoke at the meeting, Natalia Veselnitskaya, had previously"
118,23,worked for the Russian government and maintained a relationship with that government throughout
118,24,this period of time. She claimed that funds derived from illegal activities in Russia were provided
118,25,"to Hillary Clinton and other Democrats. Trump Jr . requested evidence to support those claims, but"
118,26,Veselnitskaya did not provide such information. She and her associates then turned to a critique of
118,27,"the origins of the Magnitsky Act, a 2012 statute that imposed financial and travel sanctions on"
118,28,Russian officials and that resulted in a retaliatory ban on adoptions of Russian children. Trump Jr.
118,29,suggested that the issue could be revisited when and if candidate Trump was elected . After the
118,30,"election , Veselnitskaya made additional efforts to follow up on the meeting, but the Trump"
118,31,Transition Team did not engage.
118,32,a. Setting Up the June 9 Meeting
118,33,i. Outreach to Donald Trump Jr.
118,34,Aras Agalarov is a Russian real-estate develop er with ties to Putin and other members of
118,35,"the Russian government, including Russia ' s Prosecutor General, Yuri Chaika. 664 Aras Agalarov"
118,36,"is the president of the Crocus Group , a Russian enterprise that holds substantial Russian"
118,37,"government construction contracts and that- as discussed above , Volume I, Section IV.A.I, supra"
118,38,663
118,39,"Simes 3/8/18 302, at 30."
118,40,664
118,41,"Goldstone 2/8/18 302,"
118,42,at 4.
118,43,110
118,44,NA
119,1,U.S. Department of Justice
119,2,"AtterHe'.1'""Werk Pt'eelttet// Mfr'.1'"
119,3,1
119,4,CeHtaiHMaterial Preteeteel UHelerFeel. R. Crim. P. 6(e)
119,5,-worked with Trump in connection with the 2013 Miss Universe pageant in Moscow and a
119,6,"potential Trump Moscow real-estate project. 665 The relationship continued over time, as the parties"
119,7,pursued the Trump Moscow project in 2013-2014 and exchanged gifts and letters in 2016 .666 For
119,8,"example, in April 2016 , Trump responded to a letter from Aras Agalarov with a handwritten"
119,9,"note. 667 Aras Agalarov expressed interest in Trump's campaign , passed on ""congratulations"" for"
119,10,"winning in the primary and-according to one email drafted by Goldstone-an ""offer"" of his"
119,11,"""support and that of many of his important Russian friends and colleagues[,] espec ially with"
119,12,"reference to U.S./Russian relations."" 668"
119,13,"On June 3, 2016, Emin Agalarov called Goldstone, Emin ' s then-publicist. 669 Goldstone is"
119,14,·a music and events promoter who represented Emin Agalarov from approximately late 2012 until
119,15,"late 2016. 670 While representing Emin Agalarov, Goldstone facilitated the ongoing contact"
119,16,between the Trumps and the Agalarovs-includin           an invitation that Trum sent to Putin to attend
119,17,the 2013 Miss Universe Pa eant in Moscow. 67 1
119,18,Goldstone understood                                                                 a
